percent,n_components,Mean Score in test,Std Score in test,Mean Training Time,Std Training Time,Mean Best Score in CV,Std Best Score in CV,cv_mean_test_score,cv_std_test_score,cv_mean_fit_time,cv_std_fit_time
0,1,0.9756005085085978,0.0,0.012558221817016602,0.0,0.9755720983812388,0.0,0.9755720983812388,0.006679976136684396,0.014569664001464843,0.0009119478125919361
0,50,0.9802395343131789,0.0,0.02845001220703125,0.0,0.9759796375449857,0.0,0.9759796375449857,0.0074581666083808305,0.027586746215820312,0.0026795294342615754
1,99,0.9789905658273301,0.0,0.051618099212646484,0.0,0.9761833035327658,0.0,0.9761833035327658,0.006572718231506078,0.03965039253234863,0.0014779075173436537
2,148,0.9768048709770948,0.0,0.08344221115112305,0.0,0.9749617219824595,0.0,0.9749617219824595,0.007402005718213221,0.05250215530395508,0.0012803475766236042
2,197,0.9811539576688896,0.0,0.1069190502166748,0.0,0.9743496880781846,0.0,0.9743496880781846,0.004470927064249007,0.08984055519104003,0.006688548403243225
3,246,0.9784106876017574,0.0,0.09976792335510254,0.0,0.9741474724077133,0.0,0.9741474724077133,0.007567575475832559,0.08628602027893066,0.0030258071622271863
4,295,0.9770502040725294,0.0,0.12072396278381348,0.0,0.9745539756305254,0.0,0.9745539756305254,0.007273668379302682,0.11141934394836425,0.010516761647021347
4,344,0.9786783237058679,0.0,0.1517469882965088,0.0,0.9751651807820526,0.0,0.9751651807820526,0.007993867779097082,0.13520593643188478,0.0070282272647756595
5,393,0.9786114146798404,0.0,0.17574310302734375,0.0,0.973943599231746,0.0,0.973943599231746,0.007345972408280299,0.1644512176513672,0.006084260307408222
6,443,0.9817561389031381,0.0,0.2444312572479248,0.0,0.9741470580313394,0.0,0.9741470580313394,0.007117745248444536,0.20687193870544435,0.016480273337112637
6,492,0.9786337176885161,0.0,0.23153162002563477,0.0,0.9737397260557792,0.0,0.9737397260557792,0.006784309254636003,0.2208585262298584,0.006210863104701793
7,541,0.9779200214108883,0.0,0.26976728439331055,0.0,0.9741470580313394,0.0,0.9741470580313394,0.00694071374910749,0.2644513607025146,0.028443549631667932
8,590,0.9790351718446818,0.0,0.3171420097351074,0.0,0.9741466436549654,0.0,0.9741466436549654,0.005980989734526122,0.295316219329834,0.03447406525204093
9,639,0.9785222026451368,0.0,0.3185300827026367,0.0,0.9745543900068994,0.0,0.9745543900068994,0.006710010434937664,0.33397574424743653,0.043739951805676004
9,688,0.978834444766599,0.0,0.36664772033691406,0.0,0.9743505168309324,0.0,0.9743505168309324,0.006535661247030747,0.37810254096984863,0.013434222248934811
10,737,0.979347413966144,0.0,0.39649200439453125,0.0,0.9741466436549654,0.0,0.9741466436549654,0.007060219718205554,0.4318078517913818,0.05796520791078721
11,786,0.9808640185561032,0.0,0.4449799060821533,0.0,0.9743501024545586,0.0,0.9743501024545586,0.006662449375062262,0.5336114406585694,0.057953716251096146
11,836,0.979525838035551,0.0,0.4845287799835205,0.0,0.9739429776671853,0.0,0.9739429776671853,0.006942080981538495,0.5691655158996582,0.07210483147330153
12,885,0.9778977184022125,0.0,0.5444929599761963,0.0,0.9739433920435593,0.0,0.9739433920435593,0.006850858367130436,0.5885602951049804,0.05738087104316823
13,934,0.9800388072350961,0.0,0.569645881652832,0.0,0.9737391044912183,0.0,0.9737391044912183,0.005469183362871505,0.6655256748199463,0.039864070018431404
13,983,0.9797711711309856,0.0,0.802260160446167,0.0,0.9749615147942725,0.0,0.9749615147942725,0.006940822365761834,0.7444203853607178,0.039525188660366
