,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV,cv_mean_test_score,cv_std_test_score,cv_mean_fit_time,cv_std_fit_time
0,1,64,0.836501319463036,0.09430599212646484,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0031622776601683794}",0.8244458009029636,0.8244458009029636,0.007770158813334221,0.05787200927734375,0.007332988172118642
1,2,128,0.8425823230198494,0.1233818531036377,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.8386341003133501,0.8386341003133501,0.004884261134309224,0.09503931999206543,0.004743577980064886
2,4,256,0.8414732091635752,0.1871325969696045,"{'fourier_random_features__gamma': 8.982555655316915e-05, 'ridge_classification__alpha': 0.0031622776601683794}",0.8397254144257744,0.8397254144257744,0.00474966167927027,0.14329895973205567,0.02293340053329325
3,5,320,0.8426588136306269,0.2375490665435791,"{'fourier_random_features__gamma': 8.982555655316915e-05, 'ridge_classification__alpha': 0.0031622776601683794}",0.8422193255617987,0.8422193255617987,0.005908965885904232,0.1846477508544922,0.03312360508702923
4,7,448,0.8438444180976785,0.31490087509155273,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.8422196903464603,0.8422196903464603,0.0038560202370345425,0.3176423072814941,0.03373036874502419
5,9,577,0.8437296821815122,0.40589237213134766,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.8406613302723847,0.8406613302723847,0.002324290336413195,0.48291192054748533,0.05860761642458693
6,10,641,0.8443033617623437,0.42368388175964355,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.841440145524761,0.841440145524761,0.0033503127416299973,0.5526430130004882,0.07731823162685424
7,12,769,0.8438061727922898,0.5366957187652588,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.8409730995631095,0.8409730995631095,0.003221000721737958,0.6798559188842773,0.08948486482037331
8,13,833,0.8449917772593414,0.5602762699127197,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.841128862613585,0.841128862613585,0.002667557170598588,0.7571184158325195,0.08950038522615578
9,15,962,0.8443033617623437,0.7755031585693359,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0031622776601683794}",0.8409729779682223,0.8409729779682223,0.0034805129345146027,0.8335622310638428,0.1187998579625508
10,17,1090,0.8442268711515661,0.8831386566162109,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0031622776601683794}",0.8398819070455726,0.8398819070455726,0.0036913472642136095,0.988772201538086,0.1480194956453682
11,18,1154,0.8442268711515661,0.826195478439331,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0031622776601683794}",0.8408172149177471,0.8408172149177471,0.004213596422126505,1.0662725448608399,0.15281288801721965
12,20,1282,0.8440738899300111,0.8942320346832275,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.842063805701098,0.842063805701098,0.0035940340688398343,1.3136278152465821,0.15565708550418436
13,21,1346,0.8442268711515661,0.9242193698883057,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0031622776601683794}",0.8401936763362974,0.8401936763362974,0.003538864089162975,1.3474188804626466,0.19735618083925394
14,23,1475,0.84441809767851,0.9936482906341553,"{'fourier_random_features__gamma': 7.939532520325204e-06, 'ridge_classification__alpha': 0.0001}",0.841440753499197,0.841440753499197,0.003054278612169452,1.5998417377471923,0.17723827885323995
15,25,1603,0.8439591540138448,1.2261526584625244,"{'fourier_random_features__gamma': 8.982555655316915e-05, 'ridge_classification__alpha': 0.1}",0.8408166069433112,0.8408166069433112,0.0030730448624111113,1.7802344799041747,0.2755993761166237
