percent,n_components,Mean Score in test,Std Score in test,Mean Training Time,Std Training Time,Mean Best Score in CV,Std Best Score in CV,cv_mean_test_score,cv_std_test_score,cv_mean_fit_time,cv_std_fit_time
1,64,0.8427735495467932,0.0,1.0864033699035645,0.0,0.8394142531094853,0.0,0.8394142531094853,0.007301322377674736,0.8354631900787354,0.1263248119041439
2,128,0.8450682678701189,0.0,1.5851988792419434,0.0,0.8411284978289233,0.0,0.8411284978289233,0.010853465922318718,1.8970831394195558,0.66040379190237
4,256,0.8441503805407886,0.0,4.870351314544678,0.0,0.8433116124333203,0.0,0.8433116124333203,0.009620163326713888,4.42285041809082,0.7179692197450407
5,320,0.8437296821815122,0.0,5.884319305419922,0.0,0.8423760613713714,0.0,0.8423760613713714,0.01235702625492011,7.5184625625610355,1.063646025989363
7,448,0.8449917772593414,0.0,8.169126749038696,0.0,0.8428437153074586,0.0,0.8428437153074586,0.010963833304750682,9.721744441986084,1.2050378456692017
9,577,0.8448387960377863,0.0,9.762861013412476,0.0,0.8442470419003822,0.0,0.8442470419003822,0.00858477925166724,12.803132629394531,2.108318678228619
10,641,0.8446093242054538,0.0,8.369383096694946,0.0,0.8426878306620964,0.0,0.8426878306620964,0.010623529364653703,14.127680158615112,2.157504823278618
12,769,0.8442268711515661,0.0,10.504273176193237,0.0,0.8428432289279101,0.0,0.8428432289279101,0.00931816487362019,15.853136587142945,3.6181209226383397
13,833,0.84441809767851,0.0,11.388540029525757,0.0,0.8440909140652455,0.0,0.8440909140652455,0.010551520849979094,17.03256163597107,3.0963503193259005
15,962,0.8446475695108425,0.0,13.415692329406738,0.0,0.8447143310518079,0.0,0.8447143310518079,0.009645356813695055,22.571102142333984,3.9699088372135343
17,1090,0.8441503805407886,0.0,17.958821535110474,0.0,0.8420640488908724,0.0,0.8420640488908724,0.009645127410205488,23.81742115020752,6.249611811914485
18,1154,0.84441809767851,0.0,18.61212706565857,0.0,0.8426879522569836,0.0,0.8426879522569836,0.0077203734167324055,23.814985847473146,5.314743489140948
20,1282,0.844571078900065,0.0,21.06111240386963,0.0,0.8431551198135221,0.0,0.8431551198135221,0.007747606014078669,29.53066234588623,6.017478050617538
21,1346,0.8438061727922898,0.0,21.6057608127594,0.0,0.8431556061930708,0.0,0.8431556061930708,0.007132952894556673,30.384790992736818,8.160044618089948
23,1475,0.8444945882892875,0.0,24.222095012664795,0.0,0.8423758181815971,0.0,0.8423758181815971,0.008896310296680008,38.369029664993285,7.378815051099597
25,1603,0.8449152866485639,0.0,26.190333366394043,0.0,0.8419080426506227,0.0,0.8419080426506227,0.009271690866854004,42.75483365058899,8.212099529430777
